,ip,sess_id,time,req_method,req_path,req_depth,ua,referer,header_hash,resp_code,resp_content_type,resp_content_length
30,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.345578,GET,/css/company.css,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,text/css; charset=utf-8,1034
31,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.345412,GET,/css/pico.min.css,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,text/css; charset=utf-8,70567
32,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.348617,GET,/js/minimal-theme-switcher.js,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,application/javascript; charset=utf-8,2152
33,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.351322,GET,/img/photo-1.jpeg,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,image/jpeg,111565
34,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.488809,GET,/,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",,682e44ac4e630bca06b736ee15b2a3f8,200,text/html; charset=utf-8,6077
35,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.508706,GET,/js/minimal-theme-switcher.js,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,application/javascript; charset=utf-8,2152
36,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.507816,GET,/css/company.css,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,text/css; charset=utf-8,1034
37,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.507005,GET,/css/pico.min.css,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,text/css; charset=utf-8,70567
38,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.513830,GET,/img/photo-1.jpeg,2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",http://localhost:3000/,161d3e42260358cd518e3b6737a6fb31,200,image/jpeg,111565
39,127.0.0.1,48d08400-61be-403e-a2f1-d0669ea0d01b,2022-04-25 15:28:35.672271,GET,/,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36",,682e44ac4e630bca06b736ee15b2a3f8,200,text/html; charset=utf-8,6077
